prefectureID,prefecture,center_name,Zip Code	,Address,TEL,FAX,long,lat
1,北海道,札幌市保健所,060-0042,札幌市中央区大通西19,011-622-5151,011-622-7221,141.3277853,43.0572573
1,北海道,市立函館保健所,040-0001,函館市五稜郭町23－1,0138-32-1512,0138-32-1505,140.7524824,41.799617
1,北海道,旭川市保健所,070-8525,旭川市7条通10丁目,0166-25-6354,0166-26-2912,142.366838,43.7711717
1,北海道,小樽市保健所,047-0033,小樽市富岡１丁目５番１２号,0134-22-3117,0134-22-1469,140.9934834,43.1935561
1,北海道,江別保健所,069-0811,江別市錦町4－1,011-383-2111,011-383-2185,141.5297891,43.1024063
1,北海道,千歳保健所,066-8666,千歳市東雲町4－2,0123-23-3175,0123-23-3177,141.6531337,42.8220819
1,北海道,岩見沢保健所,068-8558,岩見沢市8条西5－1,0126-20-0200,0126-22-2514,141.7510951,43.1901648
1,北海道,滝川保健所,073-0023,滝川市緑町2－3－31,0125-24-6201,0125-23-5583,139.5639657,35.7172969
1,北海道,深川保健所,074-0002,深川市2条18－6,0164-22-1421,0164-22-1479,142.0559027,43.7242919
1,北海道,富良野保健所,076-0011,富良野市末広町2－10,0167-23-3161,0167-23-3163,142.3878863,43.3409976
1,北海道,名寄保健所,096-0005,名寄市東5条南3-63-38,01654-3-3121,01654-3-3224,142.4724097,44.3518652
1,北海道,岩内保健所,045-0022,岩内郡岩内町字清住252－1,0135-62-1537,0135-63-0898,140.5094532,42.9784294
1,北海道,倶知安保健所,044-8588,虻田郡倶知安町北1条東2,0136-23-1300,0136-22-5875,140.7563241,42.9017808
1,北海道,江差保健所,043-0043,檜山郡江差町字本町63,0139-52-1053,0139-52-1074,140.1261594,41.8657833
1,北海道,渡島保健所,041-8558,函館市美原町4－6－16,0138-47-9400,0138-47-9219,140.7290599,41.7686961
1,北海道,八雲保健所,049-3112,二海郡八雲町末広町120,0137-63-2168,0137-63-2169,140.2663502,42.2542938
1,北海道,室蘭保健所,051-8558,室蘭市海岸町１－４－１,0143-24-9900,0143-23-1446,140.9720883,42.3204569
1,北海道,苫小牧保健所,053-0021,苫小牧市若草町2-2-21,0144-34-4168,0144-34-4177,141.6075067,42.6372582
1,北海道,浦河保健所,057-0007,浦河郡浦河町東町ちのみ3-1-8,0146-22-3071,0146-22-1447,142.7926206,42.1645849
1,北海道,静内保健所,056-0005,日高郡新ひだか町静内こうせい町2-8-1,0146-42-0251,0146-42-7202,142.37141,42.3451645
1,北海道,帯広保健所,080-8588,帯広市東3条南3－1,0155-26-9005,0155-25-0864,143.2110736,42.91446639999999
1,北海道,釧路保健所,085-0826,釧路市城山2－4－22,0154-65-5811,0154-65-5352,144.4037016,42.98246049999999
1,北海道,根室保健所,087-0009,根室市弥栄町2－1,0153-23-5161,0153-24-0343,145.5853623,43.3321809
1,北海道,中標津保健所,086-1001,標津郡中標津町東1条南6－1－3,0153-72-2168,0153-72-6894,144.9783108,43.545454
1,北海道,網走保健所,093-8585,網走市北7条西3,0152-41-0603,0152-44-4879,144.2598888,44.0260873
1,北海道,北見保健所,090-8518,北見市青葉町6－6,0157-24-4171,0157-24-4199,143.8992496,43.8141843
1,北海道,紋別保健所,094-8642,紋別市南が丘町1－6,0158-23-3108,0158-23-1009,143.3545255,44.34526169999999
1,北海道,稚内保健所,097-8525,稚内市末広4-2-27,0162-33-2516,0162-32-2253,141.7009416,45.3975776
1,北海道,留萌保健所,077-8585,留萌市住之江町2－1－2,0164-42-8404,0164-42-8216,141.654306,43.9331174
1,北海道,上川保健所,079-8610,旭川市永山6条19-1-1,0166-46-5900,0166-46-5262,142.4393203,43.8073491
2,青森県,青森市保健所,030-0962,青森市佃2-19-13,017-765-5280,017-718-5645,140.7804245,40.8220849
2,青森県,八戸市保健所,031-0011,八戸市田向3-6-1,0178-38-0706,0178-38-0735,141.5104383,40.4915217
2,青森県,弘前保健所,036-8356,弘前市下白銀町１４－２,0172-33-8521,0172-33-8524,140.4680521,40.6042083
2,青森県,三戸地方保健所,039-1101,八戸市大字尻内町字鴨田7,0178-27-5111,0178-27-1594,141.4406897,40.5089376
2,青森県,五所川原保健所,037-0056,五所川原市末広町14,0173-34-2108,0173-34-7516,140.4403258,40.8140296
2,青森県,むつ保健所,035-0073,むつ市中央1丁目3－33,0175-31-1388,0175-31-1667,141.1898984,41.291033
2,青森県,上十三保健所,034-0082,十和田市西二番町10－15,0176-23-4261,0176-23-4246,141.2083263,40.6138153
2,青森県,東地方保健所,030-0113,青森市第二問屋町四丁目11-6,017-739-5421,017-739-5420,140.74863,40.7881741
3,岩手県,盛岡市保健所,020-0884,盛岡市神明町3－29,019-603-8301,019-654-5665,141.1584449,39.7014846
3,岩手県,県央保健所,020-0023,盛岡市内丸11－1,019-629-6565,019-629-6594,141.1540411,39.7027112
3,岩手県,中部保健所,025-0075,花巻市花城町1－41,0198-22-2331,0198-24-9240,141.1158996,39.3900124
3,岩手県,奥州保健所,023-0053,奥州市水沢区大手町5－5,0197-22-2861,0197-25-4106,141.1401284,39.1440371
3,岩手県,一関保健所,021-0027,一関市竹山町7－5,0191-26-1415,0191-26-3565,141.127219,38.9358415
3,岩手県,大船渡保健所,022-8502,大船渡市猪川町字前田6－1,0192-27-9913,0192-27-4197,141.7045921,39.0952669
3,岩手県,釜石保健所,026-0043,釜石市新町6－50,0193-25-2702,0193-25-2294,141.8454254,39.2658381
3,岩手県,宮古保健所,027-0072,宮古市五月町1－20,0193-64-2218,0193-64-7014,141.9454312,39.6476006
3,岩手県,久慈保健所,028-8042,久慈市八日町1－1,0194-53-4987,0194-52-3919,141.7635886,40.1921043
3,岩手県,二戸保健所,028-6103,二戸市石切所字荷渡6-3,0195-23-9206,0195-23-6432,141.2958978,40.2688046
4,宮城県,仙台市保健所,980-8671,仙台市青葉区国分町三丁目７番１号,022-214-8029,022-211-1915,140.8692447,38.268424
4,宮城県,石巻保健所,986-0850,石巻市あゆみ野五丁目７番地,0225-95-1416,0225-94-8982,141.2604779,38.4411893
4,宮城県,塩釜保健所,985-0003,塩竈市北浜4-8-15,022-363-5502,022-362-6161,141.0288507,38.32409579999999
4,宮城県,大崎保健所,989-6117,大崎市古川旭4－1－1,0229-91-0707,0229-22-9449,140.9747653,38.5663461
4,宮城県,気仙沼保健所,988-0066,気仙沼市東新城３丁目3-3,0226-22-6661,0226-24-4901,141.5542591,38.9032491
4,宮城県,仙南保健所,989-1243,柴田郡大河原町字南129－1,0224-53-3115,0224-53-3131,140.7293541,38.0469152
4,宮城県,栗原保健所,987-2251,栗原市築館藤木5－1,0228-22-2112,0228-22-7019,141.0187123,38.7385708
4,宮城県,登米保健所,987-0511,登米市迫町佐沼字西佐沼150－5,0220-22-7514,0220-22-6175,141.1982277,38.6837989
5,秋田県,秋田市保健所,010-0976,秋田市八橋南1-8-3,018-883-1170,018-883-1171,140.0914019,39.7203933
5,秋田県,大館保健所,018-5601,大館市十二所字平内新田237－1,0186-52-3955,0186-52-3911,140.654445,40.2150555
5,秋田県,北秋田保健所,018-3393,北秋田市鷹巣字東中岱76番地の1,0186-62-1165,0186-62-1180,140.3604297,40.2260379
5,秋田県,能代保健所,016-0815,能代市御指南町1番10号,0185-55-8023,0185-53-4114,140.0340112,40.2099366
5,秋田県,秋田中央保健所,018-1402,潟上市昭和乱橋字古開172番地1,018-855-5171,018-855-5160,140.0541597,39.8517727
5,秋田県,由利本荘保健所,015-0885,由利本荘市水林408番地,0184-22-4120,0184-22-6291,140.0346594,39.3856792
5,秋田県,大仙保健所,014-0062,大仙市大曲上栄町13番62号,0187-63-3403,0187-62-5288,140.4794756,39.4508355
5,秋田県,横手保健所,013-8503,横手市旭川一丁目3番46号,0182-32-4005,0182-32-3389,140.5754395,39.309419
5,秋田県,湯沢保健所,012-0857,湯沢市千石町二丁目1番10号,0183-73-6155,0183-73-6156,140.488225,39.1560774
6,山形県,山形市保健所,990-8580,山形市城南町一丁目１番１号霞城セントラル４階,023-616-7260,023-616-7263,140.326406,38.2498297
6,山形県,村山保健所,990-0031,山形市十日町1－6－6,023-627-1100,023-622-0191,140.3343641,38.2482161
6,山形県,最上保健所,996-0002,新庄市金沢字大道上2034,0233-29-1300,0233-22-2025,140.3519592,38.7661643
6,山形県,置賜保健所,992-0012,米沢市金池7-1-50（置賜総合支庁内）,0238-26-6000,0238-24-3003,140.117972,37.92622
6,山形県,庄内保健所,997-1392,東田川郡三川町大字横山字袖東19－1（庄内総合支庁内）,0235-66-2111,0235-66-4935,139.8494835,38.8009564
7,福島県,福島市保健所,960-8002,福島市森合町10番1号,024-525-7670,024-533-3315,140.4632725,37.76289
7,福島県,郡山市保健所,963-8024,郡山市朝日2－15－1,024-924-2120,024-934-2860,140.3593162,37.4054355
7,福島県,いわき市保健所,973-8408,いわき市内郷高坂町四方木田191番地,0246-27-8555,0246-27-8600,140.8644375,37.0443619
7,福島県,県北保健所,960-8012,福島市御山町8－30,024-534-4101,024-534-4105,140.4680163,37.764201
7,福島県,県中保健所,962-0834,須賀川市旭町153－1,0248-75-7800,0248-75-7824,140.3775844,37.2849547
7,福島県,県南保健所,961-0074,白河市字郭内127,0248-22-5441,0248-23-1252,140.2165967,37.130854
7,福島県,会津保健所,965-0873,会津若松市追手町7－40,0242-29-5504,0242-29-5509,139.9284,37.4915263
7,福島県,南会津保健所,967-0004,南会津郡南会津町田島字天道沢甲,0241-63-0302,0241-63-0310,139.7846988,37.2010038
7,福島県,相双保健所,975-0031,南相馬市原町区錦町1－30,0244-26-1323,0244-26-1332,140.9729329,37.6400139
8,茨城県,水戸市保健所,310-0852,水戸市笠原町993－13,029-305-6290,029-241-0350,140.4583351,36.3528801
8,茨城県,中央保健所,310-0852,水戸市笠原町993－2,029-241-0100,029-241-5313,140.4592572,36.3528626
8,茨城県,日立保健所,317-0065,日立市助川町2－6－15,0294-22-4188,0294-24-5132,140.6471578,36.5928716
8,茨城県,潮来保健所,311-2422,潮来市大洲1446－1,0299-66-2114,0299-66-1613,140.5554095,35.9471219
8,茨城県,竜ケ崎保健所,301-0822,龍ケ崎市2983－1,0297-62-2161,0297-64-2693,140.1823263,35.9116106
8,茨城県,土浦保健所,300-0812,土浦市下高津2－7－46,029-821-5342,029-826-5961,140.1909326,36.0707298
8,茨城県,筑西保健所,308-0021,筑西市甲114,0296-24-3911,0296-24-3928,139.9794265,36.3052343
8,茨城県,古河保健所,306-0005,古河市北町6－22,0280-32-3021,0280-32-4323,139.7155912,36.2040503
8,茨城県,つくば保健所,305-0035,つくば市松代4－27,029-851-9287,029-851-5680,140.1048079,36.0655803
8,茨城県,ひたちなか保健所,312-0005,ひたちなか市新光町95,029-265-5515,029-265-5040,140.5802619,36.3783453
9,栃木県,宇都宮市保健所,321-0974,宇都宮市竹林町972,028-626-1102,028-627-9244,139.8954857,36.5774836
9,栃木県,県西保健所,322-0068,鹿沼市今宮町1664－1,0289-64-3125,0289-64-3919,139.742412,36.5663689
9,栃木県,県東保健所,321-4305,真岡市荒町116-1,0285-82-3321,0285-84-7438,140.018417,36.4397422
9,栃木県,県南保健所,323-0811,小山市犬塚3－1－1,0285-22-0302,0285-22-8403,139.8262779,36.3141378
9,栃木県,県北保健所,324-8585,大田原市住吉町2－14－9,0287-22-2257,0287-23-6980,140.0221742,36.8720792
9,栃木県,安足保健所,326-0032,足利市真砂町1－1,0284-41-5900,0284-44-1088,139.4749262,36.3394352
10,群馬県,前橋市保健所,371-0014,前橋市朝日町3－36－17,027-220-5781,027-223-8835,139.0897628,36.3865366
10,群馬県,高崎市保健所,370-0829,高崎市高松町５番地２８,027-381-6111,027-381-6124,139.0018137,36.325233
10,群馬県,伊勢崎保健所,372-0024,伊勢崎市下植木町499,0270-25-5066,0270-24-8842,139.210106,36.3160119
10,群馬県,渋川保健所,377-0027,渋川市金井394,0279-22-4166,0279-24-3542,139.0059457,36.5117872
10,群馬県,藤岡保健所,375-0012,藤岡市下戸塚2－5,0274-22-1420,0274-22-3149,139.0870407,36.2538147
10,群馬県,富岡保健所,370-2454,富岡市田島343－1,0274-62-1541,0274-64-2397,138.8619488,36.2489801
10,群馬県,吾妻保健所,377-0425,吾妻郡中之条町大字西中之条183－1,0279-75-3303,0279-75-6091,138.8327356,36.5893273
10,群馬県,利根沼田保健所,378-0031,沼田市薄根町4412,0278-23-2185,0278-22-4479,139.0376048,36.6383965
10,群馬県,館林保健所,374-0066,館林市大街道1－2－25,0276-72-3230,0276-72-4628,139.5255337,36.251389
10,群馬県,安中保健所,379-0132,安中市高別当336-8,027-381-0345,027-382-6366,138.8809804,36.3242927
10,群馬県,桐生保健所,376-0011,桐生市相生町2－351,0277-53-4131,0277-52-1572,139.3107254,36.4141679
10,群馬県,太田保健所,373-0033,太田市西本町41－34,0276-31-8241,0276-31-8349,139.3610518,36.2955276
11,埼玉県,さいたま市保健所,338-0013,さいたま市中央区鈴谷7-5-12,048-840-2205,048-840-2228,139.6240143,35.87350920000001
11,埼玉県,川越市保健所,350-1104,川越市小ヶ谷817-1,049-227-5101,049-224-2261,139.4589429,35.9265462
11,埼玉県,川口市保健所,333-0842,埼玉県川口市前川1-11-1,048-266-5557,048-423-8852,139.7093242,35.8332949
11,埼玉県,越谷市保健所,343-0023,越谷市東越谷10-31,048-973-7530,048-973-7534,139.8029772,35.8996937
11,埼玉県,南部保健所,333-0842,川口市前川1－11－1,048-262-6111,048-261-0711,139.7093242,35.8332949
11,埼玉県,朝霞保健所,351-0016,朝霞市青葉台1-10-5,048-461-0468,048-461-0133,139.5928053,35.7900775
11,埼玉県,鴻巣保健所,365-0039,鴻巣市東4－5－10,048-541-0249,048-541-5020,139.5192103,36.06528309999999
11,埼玉県,東松山保健所,355-0037,東松山市若松町2－6－45,0493-22-0280,0493-22-4251,139.4110801,36.0301705
11,埼玉県,秩父保健所,368-0025,秩父市桜木町8－18,0494-22-3824,0494-22-2798,139.0819097,36.0028709
11,埼玉県,本庄保健所,367-0047,本庄市前原1－8－12,0495-22-6481,0495-22-6484,139.1785265,36.2388879
11,埼玉県,熊谷保健所,360-0031,熊谷市末広3－9－1,048-523-2811,048-523-4486,139.396465,36.1434329
11,埼玉県,加須保健所,347-0031,加須市南町5－15,0480-61-1216,0480-62-2936,139.5991176,36.1200781
11,埼玉県,春日部保健所,344-0038,春日部市大沼1－76,048-737-2133,048-736-4562,139.7467916,35.9680071
11,埼玉県,幸手保健所,340-0115,幸手市中1－16－4,0480-42-1101,0480-43-5158,139.7163641,36.07584689999999
11,埼玉県,坂戸保健所,350-0212,坂戸市石井2327－1,049-283-7815,049-284-2268,139.4079677,35.9684446
11,埼玉県,草加保健所,340-0035,草加市西町425－2,048-925-1551,048-925-1554,139.7956882,35.8293325
11,埼玉県,狭山保健所,350-1324,狭山市稲荷山2-16-1,04-2954-6212,04-2954-7535,139.3935005,35.8424849
12,千葉県,千葉市保健所,261-8755,千葉市美浜区幸町1－3－9,043-238-9920,043-203-5251,140.1013542,35.6100044
12,千葉県,船橋市保健所,273-8506,船橋市北本町1-16-55,047(409)3668,047(409)2952,139.9828135,35.7104136
12,千葉県,柏市保健所,277-0004,柏市柏下６５番地1,04-7167-1255,04-7167-1732,139.9866516,35.8669173
12,千葉県,市川保健所,272-0023,市川市南八幡5-11-22,047-377-1101,047-379-6623,139.9230136,35.7195084
12,千葉県,松戸保健所,271-8562,松戸市小根本7,047-361-2121,047-367-7554,139.9040062,35.78689019999999
12,千葉県,野田保健所,278-0006,野田市柳沢24,04-7124-8155,04-7124-2878,139.867596,35.953372
12,千葉県,印旛保健所,285-8520,佐倉市鏑木仲田町8－1,043-483-1133,043-486-2777,140.2320114,35.7143131
12,千葉県,長生保健所,297-0026,茂原市茂原1102－1,0475-22-5167,0475-24-3419,140.2865236,35.4265204
12,千葉県,夷隅保健所,299-5235,勝浦市出水1224,0470-73-0145,0470-73-0904,140.3171785,35.1509062
12,千葉県,市原保健所,290-0082,市原市五井中央南1－2－11,0436-21-6391,0436-22-8068,140.0823223,35.5121875
12,千葉県,君津保健所,292-0832,木更津市新田3－4－34,0438-22-3743,0438-25-4587,139.916719,35.3777724
12,千葉県,習志野保健所,275-0012,習志野市本大久保5－7－14,047-475-5151,047-475-5122,140.0559357,35.6856033
12,千葉県,香取保健所,287-0003,香取市佐原イ92-11,0478-52-9161,0478-54-5407,140.4949201,35.8945205
12,千葉県,海匝保健所,288-0817,銚子市清川町1-6-12,0479-22-0206,0479-24-9682,140.8250498,35.7282152
12,千葉県,山武保健所,283-0802,東金市東金907－1,0475-54-0611,0475-52-0274,140.3674195,35.5617607
12,千葉県,安房保健所,294-0045,館山市北条1093－1,0470-22-4511,0470-23-6694,139.8705863,34.9946346
13,東京都,千代田保健所,102-0073,千代田区九段北１－２－１４,03-5211-8161,03-5211-8190,139.7510008,35.6966305
13,東京都,中央区保健所,104-0044,中央区明石町12－1,03-3541-5936,03-3546-9554,139.7767393,35.666635
13,東京都,みなと保健所,108-8315,港区三田1-4-10,03-6400-0050,03-3455-4420,139.7430395,35.653958
13,東京都,新宿区保健所,160-0022,新宿区新宿５丁目１８番２１号,03-3209-1111,03-5273-3876,139.7053979,35.6942958
13,東京都,文京保健所,112-8555,文京区春日1－16－21,03-5803-1223,03-5803-1386,139.7527909,35.7079751
13,東京都,台東保健所,110-0015,台東区東上野4－22－8,03-3847-9401,03-3841-4325,139.7814653,35.7144672
13,東京都,墨田区保健所,130-8640,墨田区吾妻橋1－23－20,03-5608-6189,03-5608-6405,139.8014514,35.7106268
13,東京都,江東区保健所,135-0016,江東区東陽2－1－1,03-3647-5855,03-3615-7171,139.8142188,35.6657968
13,東京都,品川区保健所,140-8715,品川区広町2－1－36,03-5742-9132,03-5742-9104,139.7301566,35.6092231
13,東京都,目黒区保健所,153-8573,目黒区上目黒2－19－15,03-5722-9586,03-5722-9329,139.6980474,35.6413032
13,東京都,大田区保健所,144-8621,大田区蒲田5－13－14,03-5744-1262,03-5744-1523,139.7161,35.561451
13,東京都,世田谷保健所,154-8504,世田谷区世田谷4－22－35,03-5432-2432,03-5432-3022,139.6517816,35.64619
13,東京都,渋谷区保健所,150-8010,渋谷区宇田川町1－1,03-3463-1211,03-5458-4943,139.6979181,35.6637209
13,東京都,中野区保健所,164-0001,中野区中野2－17－4,03-3382-6661,03-3382-6667,139.6693657,35.702846
13,東京都,杉並保健所,167-0051,杉並区荻窪5－20－1,03-3391-1355,03-3391-1377,139.6202125,35.7022299
13,東京都,池袋保健所,170-0013,豊島区東池袋4-42-16,03-3987-4203,03-3987-4110,139.7208703,35.727547
13,東京都,北区保健所,114-0001,北区東十条2－7－3,03-3919-0376,03-3919-3308,139.730586,35.7629802
